epoch,train_huber_loss,val_huber_loss,val_mae_solidVolume,val_rmse_solidVolume,val_r2_solidVolume,val_mae_surfaceVolume,val_rmse_surfaceVolume,val_r2_surfaceVolume,val_mae_supportSurfaceArea,val_rmse_supportSurfaceArea,val_r2_supportSurfaceArea,val_mae_aligned_dim_x,val_rmse_aligned_dim_x,val_r2_aligned_dim_x,val_mae_aligned_dim_y,val_rmse_aligned_dim_y,val_r2_aligned_dim_y,val_mae_aligned_dim_z,val_rmse_aligned_dim_z,val_r2_aligned_dim_z,lr,epoch_time_s
83,0.048832,0.040994,0.02462311,0.06225006,0.92420126,0.00641635,0.01402657,0.92196068,0.02040859,0.04171607,0.68981583,0.08135001,0.13521346,0.93481727,0.05030364,0.08223709,0.96440765,0.07663372,0.12932135,0.88788097,1.93e-04,40.02
84,0.048333,0.048816,0.03281926,0.07481635,0.89050975,0.00685029,0.01548089,0.90493902,0.02269876,0.04451249,0.64683588,0.09282100,0.15149648,0.91817277,0.04909556,0.07882898,0.96729659,0.08342435,0.14469950,0.85963046,1.91e-04,39.88
85,0.046497,0.051479,0.04078708,0.09016311,0.84098421,0.00857232,0.01792175,0.87259952,0.02162294,0.04253314,0.67754598,0.08580669,0.14072163,0.92939841,0.04827397,0.07776430,0.96817403,0.08354916,0.13965133,0.86925383,1.89e-04,39.89
86,0.048220,0.039505,0.02481421,0.05737616,0.93560600,0.00539407,0.01137894,0.94864133,0.02066791,0.04153305,0.69253159,0.08318301,0.13363688,0.93632846,0.06455721,0.09778078,0.94968145,0.07622781,0.12791902,0.89029939,1.87e-04,39.94
87,0.047436,0.038341,0.02260406,0.05733602,0.93569606,0.00543405,0.01247653,0.93825554,0.01995016,0.04000310,0.71476680,0.07431407,0.12335379,0.94575026,0.06766031,0.10534738,0.94159249,0.07854931,0.13274306,0.88186936,1.84e-04,39.90
88,0.046708,0.042671,0.03272188,0.07380588,0.89344733,0.00585212,0.01166847,0.94599449,0.02025345,0.04187790,0.68740449,0.08603408,0.13866952,0.93144254,0.07512773,0.11693203,0.92804050,0.07619590,0.12341519,0.89788817,1.82e-04,39.90
89,0.046753,0.047180,0.03139311,0.06956858,0.90533079,0.00868094,0.01794107,0.87232464,0.02091563,0.04101643,0.70013311,0.08507320,0.13728775,0.93280201,0.04588327,0.07505293,0.97035465,0.08823488,0.14709431,0.85494570,1.80e-04,39.92
90,0.046597,0.038894,0.02510267,0.06215292,0.92443763,0.00560731,0.01258367,0.93719052,0.02114635,0.04044428,0.70844062,0.08020112,0.13514183,0.93488630,0.04578183,0.07633039,0.96933690,0.07219254,0.12410890,0.89673702,1.78e-04,39.86
91,0.044463,0.047571,0.03679606,0.08220395,0.86781935,0.00796761,0.01670021,0.88937482,0.02141121,0.04182827,0.68814510,0.08863213,0.14228569,0.92782028,0.04911543,0.07684041,0.96892576,0.07619245,0.13012831,0.88647737,1.75e-04,39.92
92,0.044159,0.041864,0.02615383,0.06234597,0.92396751,0.00686395,0.01486417,0.91236220,0.02110044,0.04217602,0.68293809,0.07840008,0.12848157,0.94114622,0.04973763,0.08174732,0.96483033,0.07787716,0.13093416,0.88506697,1.73e-04,39.84
93,0.045788,0.040047,0.02353304,0.05643137,0.93770923,0.00539707,0.01131033,0.94925881,0.02109964,0.04115414,0.69811622,0.08664741,0.14007619,0.93004458,0.05956178,0.09309810,0.95438550,0.08197380,0.14153871,0.86569589,1.71e-04,39.91
94,0.045557,0.040074,0.02316189,0.05644183,0.93768614,0.00566298,0.01240589,0.93895271,0.02007611,0.04079822,0.70331526,0.10455692,0.16071437,0.90791219,0.05524093,0.09010727,0.95726921,0.07698487,0.12693812,0.89197533,1.69e-04,39.83
